pengaduan,kategori
"Tolong, Microsoft Word tidak bisa dibuka di lantai 2",Software
"Mohon bantuan, Monitor kampus tiba tiba mati",Hardware
Saya melaporkan bahwa Internet kampus di perpustakaan putus putus,Jaringan
"Mohon bantuan, Saya tidak dapat mengakses akun mahasiswa",Akun & Akses
"Permisi, Login akun kampus selalu gagal",Akun & Akses
"Tolong, Jadwal perkuliahan di portal akademik tidak sesuai",Sistem Akademik
"Permisi, Koneksi WiFi di gedung perkuliahan terputus terus",Jaringan
Saya melaporkan bahwa Saya tidak bisa masuk ke portal menggunakan akun saya,Akun & Akses
"Mohon bantuan, Informasi jadwal kuliah tidak tersedia di SIAKAD",Sistem Akademik
Aplikasi Zoom di fakultas tidak berjalan,Software
"Permisi, Saya tidak mendapat akses internet melalui WiFi gedung perkuliahan",Jaringan
"Mohon bantuan, Portal akademik berhenti ketika saya membuka halaman nilai",Sistem Akademik
"Mohon bantuan, Saya tidak bisa login ke akun kampus",Akun & Akses
"Tolong, Windows pada komputer lantai 2 mengalami error",Software
"Permisi, Proyektor di gedung perkuliahan tidak menyala",Hardware
Saya melaporkan bahwa Program komputer perpustakaan gagal dijalankan,Software
"Mohon bantuan, Sistem menolak kredensial akun saya",Akun & Akses
"Tolong, Software komputer lantai 2 tidak berjalan normal",Software
"Permisi, Aplikasi Zoom di gedung perkuliahan tidak berjalan",Software
Saya melaporkan bahwa Saya tidak memiliki akses ke sistem,Akun & Akses
"Mohon bantuan, Aplikasi yang digunakan di gedung B sering tertutup sendiri",Software
"Permisi, Hotspot kampus di gedung perkuliahan tidak berfungsi",Jaringan
Kecepatan internet di fakultas menurun,Jaringan
Akun pengguna saya tidak dapat digunakan,Akun & Akses
"Permisi, Saya tidak dapat terhubung ke WiFi ruang kelas",Jaringan
"Permisi, Keyboard di ruang kelas beberapa tombolnya tidak berfungsi",Hardware
"Tolong, Saya tidak memiliki akses ke sistem",Akun & Akses
Saya melaporkan bahwa Saya tidak dapat terhubung ke WiFi perpustakaan,Jaringan
"Mohon bantuan, Aplikasi Zoom di kampus tidak berjalan",Software
"Permisi, Aplikasi pada komputer gedung perkuliahan tidak dapat dijalankan",Software
Saya melaporkan bahwa Saya kesulitan mengakses internet dari laboratorium komputer,Jaringan
"Mohon bantuan, Microsoft Word tidak bisa dibuka di gedung B",Software
"Tolong, PC di ruang dosen sering mati sendiri",Hardware
Saya melaporkan bahwa Aplikasi pada komputer perpustakaan tidak dapat dijalankan,Software
"Permisi, Portal akademik mengalami error saat saya melihat data akademik",Sistem Akademik
"Tolong, Sistem akademik tidak menampilkan data semester saya",Sistem Akademik
Saya melaporkan bahwa Saya ingin melakukan reset password akun,Akun & Akses
Saya melaporkan bahwa Microsoft Office di perpustakaan mengalami masalah,Software
WiFi fakultas sering disconnect,Jaringan
"Mohon bantuan, Saya membutuhkan bantuan untuk reset password",Akun & Akses
Saya melaporkan bahwa PC perpustakaan sering restart sendiri,Hardware
"Mohon bantuan, Keyboard di gedung B beberapa tombolnya tidak berfungsi",Hardware
"Tolong, Komputer ruang dosen mengeluarkan suara aneh",Hardware
KHS saya belum tampil di portal akademik,Sistem Akademik
Sinyal WiFi di gedung A sangat lemah,Jaringan
"Tolong, Printer di lantai 2 tidak dapat mencetak",Hardware
"Mohon bantuan, Sistem KRS mengalami gangguan saat digunakan",Sistem Akademik
"Tolong, Aplikasi Zoom di lantai 2 tidak berjalan",Software
"Permisi, Jadwal perkuliahan di portal akademik tidak sesuai",Sistem Akademik
Saya melaporkan bahwa Proyektor perpustakaan tidak menampilkan gambar,Hardware
Saya melaporkan bahwa PC di perpustakaan sering mati sendiri,Hardware
Password akun saya ditolak oleh sistem,Akun & Akses
"Permisi, Komputer ruang kelas tidak mau menyala",Hardware
"Mohon bantuan, Nilai mata kuliah belum terlihat di sistem akademik",Sistem Akademik
"Tolong, Software di komputer ruang dosen berhenti tiba tiba",Software
Saya melaporkan bahwa Internet di perpustakaan tiba tiba mati,Jaringan
Saya tidak dapat melakukan pengisian KRS,Sistem Akademik
"Tolong, Sistem menolak kredensial akun saya",Akun & Akses
Perangkat komputer di fakultas mengalami kerusakan,Hardware
"Permisi, Saya gagal menyimpan perubahan KRS",Sistem Akademik
"Permisi, Saya kesulitan mengakses internet dari ruang kelas",Jaringan
Saya mengalami kendala pada halaman akademik,Sistem Akademik
"Permisi, Jaringan internet gedung perkuliahan tidak stabil",Jaringan
Saya tidak dapat terhubung ke WiFi fakultas,Jaringan
"Permisi, Monitor ruang kelas tiba tiba mati",Hardware
"Tolong, Internet kampus di lantai 2 putus putus",Jaringan
"Tolong, Monitor di lantai 2 tidak menampilkan gambar",Hardware
"Tolong, Saya tidak bisa masuk ke portal menggunakan akun saya",Akun & Akses
Saya melaporkan bahwa Saya tidak mendapat akses internet melalui WiFi laboratorium komputer,Jaringan
"Permisi, Mouse di ruang kelas tidak terdeteksi",Hardware
"Tolong, Monitor lantai 2 tiba tiba mati",Hardware
Saya melaporkan bahwa Jaringan internet perpustakaan tidak stabil,Jaringan
"Mohon bantuan, Printer di kampus tidak dapat mencetak",Hardware
"Permisi, Komputer ruang kelas tidak dapat dinyalakan",Hardware
"Mohon bantuan, Username saya tidak dikenali saat login",Akun & Akses
"Mohon bantuan, Internet gedung B sangat lambat",Jaringan
"Tolong, KHS saya belum tampil di portal akademik",Sistem Akademik
"Tolong, Koneksi internet di ruang dosen sering gagal",Jaringan
"Tolong, Saya tidak dapat terhubung ke WiFi lantai 2",Jaringan
"Tolong, Saya membutuhkan bantuan untuk reset password",Akun & Akses
"Permisi, Program di ruang kelas mengalami crash",Software
"Permisi, WiFi ruang kelas tidak bisa digunakan",Jaringan
"Mohon bantuan, Mouse komputer kampus rusak",Hardware
"Mohon bantuan, Akun kampus saya terkunci",Akun & Akses
Saya melaporkan bahwa WiFi di laboratorium komputer tidak mendapatkan koneksi,Jaringan
Saya melaporkan bahwa Saya tidak dapat melakukan pengisian KRS,Sistem Akademik
"Mohon bantuan, Browser di kampus sering crash",Software
"Permisi, Username saya tidak dikenali saat login",Akun & Akses
"Tolong, WiFi ruang dosen sering disconnect",Jaringan
"Tolong, Akun pengguna saya tidak dapat digunakan",Akun & Akses
Sistem menolak kredensial akun saya,Akun & Akses
"Mohon bantuan, WiFi kampus sering disconnect",Jaringan
"Permisi, Internet ruang kelas sangat lambat",Jaringan
"Permisi, Akun saya terkunci setelah beberapa kali login",Akun & Akses
"Tolong, Data KRS saya tidak muncul di SIAKAD",Sistem Akademik
"Tolong, Laptop saya gagal tersambung ke jaringan ruang dosen",Jaringan
"Permisi, Data KHS di akun saya belum diperbarui",Sistem Akademik
"Mohon bantuan, Akun mahasiswa saya tidak dapat digunakan",Akun & Akses
"Mohon bantuan, KHS saya belum tampil di portal akademik",Sistem Akademik
"Mohon bantuan, Saya tidak dapat melakukan pengisian KRS",Sistem Akademik
Sistem KRS mengalami gangguan saat digunakan,Sistem Akademik
Saya melaporkan bahwa Word di komputer perpustakaan mengalami error,Software
Saya melaporkan bahwa Portal akademik berhenti ketika saya melakukan pengisian mata kuliah,Sistem Akademik
Saya melaporkan bahwa Saya gagal menyimpan perubahan KRS,Sistem Akademik
Saya melaporkan bahwa Aplikasi Excel di perpustakaan tidak dapat digunakan,Software
"Permisi, Sistem operasi komputer gedung perkuliahan mengalami error",Software
"Tolong, Fitur pengisian KRS di SIAKAD tidak berjalan",Sistem Akademik
"Tolong, Saya lupa password akun kampus",Akun & Akses
Proyektor di fakultas tidak menyala,Hardware
"Tolong, Akun saya terkunci setelah beberapa kali login",Akun & Akses
"Tolong, Saya gagal menyimpan perubahan KRS",Sistem Akademik
"Permisi, Aplikasi Excel di ruang kelas tidak dapat digunakan",Software
Internet kampus di fakultas putus putus,Jaringan
Saya melaporkan bahwa Keyboard komputer laboratorium komputer tidak berfungsi,Hardware
"Mohon bantuan, Saya tidak dapat melihat nilai di portal akademik",Sistem Akademik
"Mohon bantuan, Saya lupa kata sandi akun",Akun & Akses
Browser di komputer fakultas tiba tiba berhenti,Software
Saya lupa password akun kampus,Akun & Akses
"Mohon bantuan, Perangkat komputer di kampus mengalami kerusakan",Hardware
Data KRS saya tidak muncul di SIAKAD,Sistem Akademik
Saya melaporkan bahwa Keyboard di laboratorium komputer beberapa tombolnya tidak berfungsi,Hardware
"Tolong, Daftar mata kuliah pada SIAKAD tidak muncul",Sistem Akademik
Saya tidak mendapat akses internet melalui WiFi gedung A,Jaringan
Saya melaporkan bahwa Jadwal perkuliahan di portal akademik tidak sesuai,Sistem Akademik
Aplikasi Excel di fakultas tidak dapat digunakan,Software
Login akun kampus selalu gagal,Akun & Akses
"Tolong, Koneksi WiFi di ruang dosen terputus terus",Jaringan
"Tolong, Keyboard di ruang dosen beberapa tombolnya tidak berfungsi",Hardware
"Permisi, Saya tidak dapat melihat nilai di portal akademik",Sistem Akademik
SIAKAD menampilkan kesalahan ketika membuka halaman KRS,Sistem Akademik
"Permisi, Fitur pengisian KRS di SIAKAD tidak berjalan",Sistem Akademik
"Permisi, PC di gedung perkuliahan sering mati sendiri",Hardware
"Permisi, Perangkat saya tidak bisa terhubung ke jaringan gedung perkuliahan",Jaringan
"Permisi, Saya tidak bisa masuk ke portal menggunakan akun saya",Akun & Akses
"Tolong, Program di lantai 2 mengalami crash",Software
Mouse di gedung A tidak terdeteksi,Hardware
Saya melaporkan bahwa KHS saya belum tampil di portal akademik,Sistem Akademik
Saya melaporkan bahwa Windows pada komputer laboratorium komputer mengalami error,Software
"Permisi, Printer di ruang kelas tidak merespons",Hardware
"Mohon bantuan, Printer gedung B mengalami kerusakan fisik",Hardware
"Tolong, Windows di komputer lantai 2 menampilkan pesan error",Software
"Permisi, Perangkat lunak di ruang kelas bermasalah",Software
PC di fakultas sering mati sendiri,Hardware
"Permisi, Windows di komputer ruang kelas menampilkan pesan error",Software
Proyektor gedung A tidak menampilkan gambar,Hardware
"Permisi, Program komputer gedung perkuliahan gagal dijalankan",Software
"Permisi, Perangkat komputer di gedung perkuliahan mengalami kerusakan",Hardware
"Permisi, Laptop saya gagal tersambung ke jaringan gedung perkuliahan",Jaringan
Fitur pengisian KRS di SIAKAD tidak berjalan,Sistem Akademik
"Mohon bantuan, Sistem akademik tidak menampilkan data semester saya",Sistem Akademik
"Mohon bantuan, Software komputer kampus tidak berjalan normal",Software
Saya melaporkan bahwa Layar monitor laboratorium komputer berkedip,Hardware
"Mohon bantuan, Akun pengguna saya tidak dapat digunakan",Akun & Akses
"Permisi, Keyboard gedung perkuliahan mengalami kerusakan",Hardware
Saya kesulitan mengakses internet dari fakultas,Jaringan
"Permisi, Saya tidak dapat melakukan pengisian KRS",Sistem Akademik
"Mohon bantuan, Hotspot kampus di gedung B tidak berfungsi",Jaringan
"Permisi, Akun pengguna saya tidak dapat digunakan",Akun & Akses
Saya melaporkan bahwa Internet laboratorium komputer sangat lambat,Jaringan
Saya melaporkan bahwa Software komputer laboratorium komputer tidak berjalan normal,Software
Aplikasi yang digunakan di gedung A sering tertutup sendiri,Software
Microsoft Office di gedung A mengalami masalah,Software
"Tolong, Data KHS di akun saya belum diperbarui",Sistem Akademik
Jadwal perkuliahan di portal akademik tidak sesuai,Sistem Akademik
Saya melaporkan bahwa Sistem KRS mengalami gangguan saat digunakan,Sistem Akademik
"Mohon bantuan, Sistem operasi komputer gedung B mengalami error",Software
Portal akademik berhenti ketika saya melihat data akademik,Sistem Akademik
"Permisi, Password saya sudah tidak bisa digunakan",Akun & Akses
Saya melaporkan bahwa Koneksi jaringan laboratorium komputer sering terputus,Jaringan
"Mohon bantuan, Program komputer kampus gagal dijalankan",Software
"Permisi, SIAKAD tidak bisa dibuka saat saya mengisi KRS",Sistem Akademik
Saya melaporkan bahwa Koneksi WiFi di perpustakaan terputus terus,Jaringan
Laptop saya gagal tersambung ke jaringan gedung A,Jaringan
"Mohon bantuan, Windows pada komputer kampus mengalami error",Software
Saya tidak dapat melihat nilai di portal akademik,Sistem Akademik
Saya melaporkan bahwa Login akun kampus selalu gagal,Akun & Akses
Printer di gedung A tidak merespons,Hardware
"Permisi, Sistem menolak kredensial akun saya",Akun & Akses
Saya melaporkan bahwa Fitur pengisian KRS di SIAKAD tidak berjalan,Sistem Akademik
"Mohon bantuan, Printer di gedung B tidak merespons",Hardware
"Tolong, Password akun saya ditolak oleh sistem",Akun & Akses
Daftar mata kuliah pada SIAKAD tidak muncul,Sistem Akademik
Sistem operasi komputer gedung A mengalami error,Software
"Mohon bantuan, Daftar mata kuliah pada SIAKAD tidak muncul",Sistem Akademik
"Mohon bantuan, Password saya sudah tidak bisa digunakan",Akun & Akses
"Tolong, Keyboard ruang dosen mengalami kerusakan",Hardware
Saya melaporkan bahwa Jadwal kuliah tidak muncul di SIAKAD,Sistem Akademik
"Mohon bantuan, Aplikasi Excel di kampus tidak dapat digunakan",Software
Jaringan di gedung A bermasalah sejak pagi,Jaringan
"Mohon bantuan, Saya gagal menyimpan perubahan KRS",Sistem Akademik
"Mohon bantuan, Komputer gedung B mengeluarkan suara aneh",Hardware
Saya gagal masuk menggunakan akun kampus,Akun & Akses
"Mohon bantuan, Jaringan di gedung B bermasalah sejak pagi",Jaringan
"Permisi, Akun kampus saya terkunci",Akun & Akses
"Mohon bantuan, Jadwal kuliah tidak muncul di SIAKAD",Sistem Akademik
"Tolong, Portal akademik berhenti ketika saya mengakses portal",Sistem Akademik
Saya melaporkan bahwa Komputer laboratorium komputer tidak mau menyala,Hardware
Keyboard di gedung A beberapa tombolnya tidak berfungsi,Hardware
"Mohon bantuan, Excel di gedung B sering mengalami error",Software
Saya melaporkan bahwa Printer di laboratorium komputer tidak merespons,Hardware
"Mohon bantuan, Windows di komputer gedung B menampilkan pesan error",Software
"Permisi, Aplikasi di gedung perkuliahan tidak merespons",Software
"Tolong, Perangkat lunak di ruang dosen bermasalah",Software
PC gedung A sering restart sendiri,Hardware
Nilai mata kuliah belum terlihat di sistem akademik,Sistem Akademik
Saya melaporkan bahwa Microsoft Word tidak bisa dibuka di laboratorium komputer,Software
Saya melaporkan bahwa Printer di perpustakaan tidak dapat mencetak,Hardware
"Mohon bantuan, Password akun saya ditolak oleh sistem",Akun & Akses
Saya melaporkan bahwa Mouse komputer perpustakaan rusak,Hardware
"Tolong, Nilai mata kuliah belum terlihat di sistem akademik",Sistem Akademik
"Tolong, Saya ingin melakukan reset password akun",Akun & Akses
"Mohon bantuan, Keyboard gedung B mengalami kerusakan",Hardware
Saya melaporkan bahwa Saya gagal masuk menggunakan akun kampus,Akun & Akses
"Mohon bantuan, Browser di komputer kampus tiba tiba berhenti",Software
"Tolong, Monitor komputer ruang dosen tampak blank",Hardware
"Mohon bantuan, Program di gedung B mengalami crash",Software
Saya melaporkan bahwa Monitor komputer laboratorium komputer tampak blank,Hardware
Perangkat lunak di gedung A bermasalah,Software
"Permisi, Browser komputer gedung perkuliahan tidak merespons",Software
"Tolong, Saya tidak dapat melakukan pengisian KRS",Sistem Akademik
"Tolong, Sistem KRS mengalami gangguan saat digunakan",Sistem Akademik
"Permisi, Excel di ruang kelas sering mengalami error",Software
"Permisi, Saya tidak memiliki akses ke sistem",Akun & Akses
"Tolong, Akun mahasiswa saya tidak dapat digunakan",Akun & Akses
Saya melaporkan bahwa Hak akses saya ke sistem belum tersedia,Akun & Akses
"Mohon bantuan, Saya ingin melakukan reset password akun",Akun & Akses
"Tolong, Proyektor ruang dosen tidak menampilkan gambar",Hardware
"Permisi, Windows pada komputer ruang kelas mengalami error",Software
"Mohon bantuan, SIAKAD menampilkan kesalahan ketika membuka halaman KRS",Sistem Akademik
"Permisi, Sistem akademik tidak menampilkan data semester saya",Sistem Akademik
"Mohon bantuan, Fitur pengisian KRS di SIAKAD tidak berjalan",Sistem Akademik
"Tolong, Printer lantai 2 mengalami kerusakan fisik",Hardware
"Permisi, Proyektor gedung perkuliahan tidak menampilkan gambar",Hardware
"Permisi, KHS saya belum tampil di portal akademik",Sistem Akademik
"Tolong, Jadwal kuliah tidak muncul di SIAKAD",Sistem Akademik
"Permisi, Aplikasi yang digunakan di ruang kelas sering tertutup sendiri",Software
"Permisi, Printer di gedung perkuliahan tidak dapat mencetak",Hardware
Saya melaporkan bahwa Saya lupa password akun kampus,Akun & Akses
"Mohon bantuan, Perangkat lunak di gedung B bermasalah",Software
Saya melaporkan bahwa Nilai mata kuliah belum terlihat di sistem akademik,Sistem Akademik
Saya melaporkan bahwa Keyboard perpustakaan mengalami kerusakan,Hardware
"Permisi, Saya tidak bisa login ke akun kampus",Akun & Akses
"Permisi, Data KRS saya tidak muncul di SIAKAD",Sistem Akademik
"Tolong, Word di komputer lantai 2 mengalami error",Software
Software di komputer fakultas berhenti tiba tiba,Software
"Tolong, Portal akademik mengalami error saat saya mengisi KRS",Sistem Akademik
Saya melaporkan bahwa Akun saya terkunci setelah beberapa kali login,Akun & Akses
Saya melaporkan bahwa Sinyal WiFi di laboratorium komputer sangat lemah,Jaringan
Saya melaporkan bahwa Saya membutuhkan bantuan untuk reset password,Akun & Akses
"Permisi, Internet kampus di ruang kelas putus putus",Jaringan
"Tolong, PC ruang dosen sering restart sendiri",Hardware
Saya melaporkan bahwa Hotspot kampus di perpustakaan tidak berfungsi,Jaringan
Layar monitor gedung A berkedip,Hardware
"Permisi, Data mata kuliah saya tidak tampil di SIAKAD",Sistem Akademik
"Tolong, Program komputer ruang dosen gagal dijalankan",Software
Data KHS di akun saya belum diperbarui,Sistem Akademik
"Tolong, Koneksi jaringan lantai 2 sering terputus",Jaringan
Saya melaporkan bahwa Laptop saya gagal tersambung ke jaringan perpustakaan,Jaringan
"Permisi, WiFi gedung perkuliahan sering disconnect",Jaringan
"Tolong, Informasi jadwal kuliah tidak tersedia di SIAKAD",Sistem Akademik
Saya gagal menyimpan perubahan KRS,Sistem Akademik
Saya melaporkan bahwa Perangkat lunak di laboratorium komputer bermasalah,Software
Browser komputer gedung A tidak merespons,Software
Printer di fakultas tidak dapat mencetak,Hardware
"Tolong, Jaringan di ruang dosen bermasalah sejak pagi",Jaringan
"Mohon bantuan, Jaringan kampus di gedung B mengalami gangguan",Jaringan
"Permisi, Layar monitor gedung perkuliahan berkedip",Hardware
Hak akses saya ke sistem belum tersedia,Akun & Akses
"Permisi, Browser di komputer gedung perkuliahan tiba tiba berhenti",Software
"Permisi, Sistem KRS mengalami gangguan saat digunakan",Sistem Akademik
"Tolong, Sinyal WiFi di ruang dosen sangat lemah",Jaringan
Saya melaporkan bahwa Akses akun saya bermasalah,Akun & Akses
Saya ingin melakukan reset password akun,Akun & Akses
Saya melaporkan bahwa Monitor di laboratorium komputer tidak menampilkan gambar,Hardware
"Permisi, PC gedung perkuliahan sering restart sendiri",Hardware
"Tolong, Mouse di lantai 2 tidak terdeteksi",Hardware
"Tolong, Saya tidak bisa login ke akun kampus",Akun & Akses
"Tolong, WiFi lantai 2 tidak bisa digunakan",Jaringan
Saya melaporkan bahwa Printer laboratorium komputer mengalami kerusakan fisik,Hardware
Saya melaporkan bahwa Password saya sudah tidak bisa digunakan,Akun & Akses
SIAKAD tidak bisa dibuka saat saya membuka halaman KRS,Sistem Akademik
"Mohon bantuan, PC di kampus sering mati sendiri",Hardware
"Tolong, Username saya tidak dikenali saat login",Akun & Akses
Keyboard komputer fakultas tidak berfungsi,Hardware
Informasi jadwal kuliah tidak tersedia di SIAKAD,Sistem Akademik
Saya melaporkan bahwa Jaringan di laboratorium komputer bermasalah sejak pagi,Jaringan
Monitor komputer gedung A tampak blank,Hardware
"Permisi, Mouse komputer ruang kelas rusak",Hardware
"Permisi, WiFi di ruang kelas tidak mendapatkan koneksi",Jaringan
"Mohon bantuan, Koneksi internet di gedung B sering gagal",Jaringan
"Permisi, Internet di gedung perkuliahan tiba tiba mati",Jaringan
Monitor fakultas tiba tiba mati,Hardware
Saya melaporkan bahwa Software di komputer perpustakaan berhenti tiba tiba,Software
Komputer gedung A tidak mau menyala,Hardware
Password saya sudah tidak bisa digunakan,Akun & Akses
Saya melaporkan bahwa WiFi perpustakaan sering disconnect,Jaringan
"Permisi, Saya ingin melakukan reset password akun",Akun & Akses
"Mohon bantuan, Proyektor kampus tidak menampilkan gambar",Hardware
Saya melaporkan bahwa Komputer laboratorium komputer tidak dapat dinyalakan,Hardware
Keyboard gedung A mengalami kerusakan,Hardware
"Tolong, SIAKAD menampilkan kesalahan ketika membuka halaman KRS",Sistem Akademik
Username saya tidak dikenali saat login,Akun & Akses
Sistem akademik tidak menampilkan data semester saya,Sistem Akademik
"Tolong, WiFi di lantai 2 tidak mendapatkan koneksi",Jaringan
Saya melaporkan bahwa Sistem akademik tidak menampilkan data semester saya,Sistem Akademik
"Permisi, Nilai mata kuliah belum terlihat di sistem akademik",Sistem Akademik
"Mohon bantuan, Saya tidak bisa masuk ke portal menggunakan akun saya",Akun & Akses
"Tolong, Internet lantai 2 sangat lambat",Jaringan
"Mohon bantuan, Software di komputer kampus berhenti tiba tiba",Software
Saya membutuhkan bantuan untuk reset password,Akun & Akses
"Mohon bantuan, WiFi di kampus tidak mendapatkan koneksi",Jaringan
Microsoft Word tidak bisa dibuka di gedung A,Software
"Mohon bantuan, Koneksi jaringan kampus sering terputus",Jaringan
Saya melaporkan bahwa Data KHS di akun saya belum diperbarui,Sistem Akademik
"Permisi, Sinyal WiFi di gedung perkuliahan sangat lemah",Jaringan
"Tolong, Browser di komputer ruang dosen tiba tiba berhenti",Software
"Mohon bantuan, Login akun kampus selalu gagal",Akun & Akses
"Permisi, Saya lupa password akun kampus",Akun & Akses
"Tolong, Mouse komputer lantai 2 rusak",Hardware
"Tolong, Proyektor di ruang dosen tidak menyala",Hardware
Saya tidak memiliki akses ke sistem,Akun & Akses
"Mohon bantuan, Saya tidak memiliki akses ke sistem",Akun & Akses
"Tolong, Microsoft Office di ruang dosen mengalami masalah",Software
"Permisi, Komputer gedung perkuliahan mengeluarkan suara aneh",Hardware
"Permisi, Monitor di ruang kelas tidak menampilkan gambar",Hardware
"Tolong, Keyboard komputer lantai 2 tidak berfungsi",Hardware
"Tolong, Printer di ruang dosen tidak merespons",Hardware
"Permisi, Saya tidak dapat mengakses akun mahasiswa",Akun & Akses
"Mohon bantuan, Mouse di gedung B tidak terdeteksi",Hardware
Akun mahasiswa saya tidak dapat digunakan,Akun & Akses
"Permisi, Akun mahasiswa saya tidak dapat digunakan",Akun & Akses
"Permisi, Microsoft Word tidak bisa dibuka di ruang kelas",Software
Windows di komputer gedung A menampilkan pesan error,Software
Saya melaporkan bahwa Monitor perpustakaan tiba tiba mati,Hardware
"Mohon bantuan, Komputer gedung B tidak mau menyala",Hardware
"Permisi, SIAKAD menampilkan kesalahan ketika membuka halaman KRS",Sistem Akademik
